Buyer Postal Code,Ticket Type,mean,nunique,count
53713,Regular,30.0,1,1
53719,Pay What You Can,15.0,1,1
60440,Pay What You Can,3.0,1,1
60654,Regular,30.0,1,1
61802,Pay What You Can,0.0,1,1
62563,Pay What You Can,30.0,1,1
65203,Pay What You Can,10.0,1,2
6524 RA,Pay What You Can,10.0,1,1
75024,Regular,30.0,1,1
75211,Pay What You Can,20.0,1,2
77025,Pay What You Can,1.0,1,3
81656,Pay What You Can,8.333333333333334,2,3
83716,Pay What You Can,10.0,2,2
84103,Premium,50.0,1,1
85310,Pay What You Can,5.0,1,3
89149,Pay What You Can,12.5,2,4
92069,Pay What You Can,15.0,1,3
92130,Pay What You Can,3.3333333333333335,2,3
92602,Pay What You Can,10.0,1,1
94024,Pay What You Can,10.0,1,2
94025,Pay What You Can,7.5,1,1
94122,Pay What You Can,20.0,1,2
94303,Pay What You Can,0.0,1,1
94306,Regular,30.0,1,1
94526,Premium,50.0,1,3
94941,Pay What You Can,20.0,1,1
95051,Pay What You Can,15.0,1,1
95070,Premium,50.0,1,4
95118,Pay What You Can,10.0,1,3
98087,Pay What You Can,0.0,1,4
L8P0B8,Regular,30.0,1,1
V1C 6R1,Premium,50.0,1,1
